Log Source
Extension 1005 (Sales)
Registered
Clear View
Live
EXT 1005 (Sales)
registered
Timestamp	Level	Source	Message
—		—	[2026-07-29T17:50:17.821Z] 2026/07/29 17:50:17 ElevenLabs raw message: {"ping_event":{"event_id":14,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:17.824Z] 2026/07/29 17:50:17 ElevenLabs raw message: {"ping_event":{"event_id":14,"ping_ms":151},"type":"ping"}
—		—	[2026-07-29T17:50:18.603Z] 2026/07/29 17:50:18 Sent 600 RTP packets to 192.168.11.90:17046
—		—	[2026-07-29T17:50:19.522Z] 2026/07/29 17:50:19 ElevenLabs raw message: {"ping_event":{"event_id":15,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:19.526Z] 2026/07/29 17:50:19 ElevenLabs raw message: {"ping_event":{"event_id":15,"ping_ms":151},"type":"ping"}
—		—	[2026-07-29T17:50:25.305Z] 2026/07/29 17:50:21 RTP packet #1100 received from 192.168.11.90:17046, size=172 bytes
—		—	[2026-07-29T17:50:25.332Z] 2026/07/29 17:50:25 ElevenLabs raw message: {"ping_event":{"event_id":16,"ping_ms":151},"type":"ping"}
—		—	[2026-07-29T17:50:25.332Z] 2026/07/29 17:50:25 ElevenLabs raw message: {"ping_event":{"event_id":16,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:25.332Z] 2026/07/29 17:50:25 ElevenLabs raw message: {"ping_event":{"event_id":17,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:25.332Z] 2026/07/29 17:50:25 ElevenLabs raw message: {"ping_event":{"event_id":18,"ping_ms":150},"type":"ping"}
—		—	[2026-07-29T17:50:25.332Z] 2026/07/29 17:50:25 BYE received for call: e4ab7f1b-41f0-4e6e-8a89-bf2449fb28f5
—		—	[2026-07-29T17:50:25.613Z] 2026/07/29 17:50:25 Call ended (BYE received): e4ab7f1b-41f0-4e6e-8a89-bf2449fb28f5
—		—	[2026-07-29T17:50:25.613Z] 2026/07/29 17:50:25 ElevenLabs to RTP bridge stopping...
—		—	[2026-07-29T17:50:25.613Z] 2026/07/29 17:50:25 RTP to ElevenLabs bridge stopping...
—		—	[2026-07-29T17:50:25.613Z] 2026/07/29 17:50:25 Unregistered bridge for call: e4ab7f1b-41f0-4e6e-8a89-bf2449fb28f5
